customer_id,recency_days,frequency,monetary,r_score,f_score,m_score,segment
278,39,6,486.0,3,3,2,Champions
279,53,14,2188.0,2,4,4,Loyal but slipping
280,10,15,1351.0,4,4,4,Champions
281,119,1,76.0,1,1,1,Lapsed
282,8,14,1218.0,4,4,4,Champions
283,102,8,572.0,2,3,2,Loyal but slipping
284,8,6,968.0,4,3,3,Champions
285,172,2,323.0,1,2,2,Lapsed
286,63,6,1393.0,2,3,4,Loyal but slipping
287,29,14,1897.0,3,4,4,Champions
288,63,7,1072.0,2,3,3,Loyal but slipping
289,5,7,1113.0,4,3,3,Champions
290,335,2,259.0,1,1,1,Lapsed
291,36,13,1973.0,3,4,4,Champions
292,100,1,228.0,2,1,1,Lapsed
293,32,1,218.0,3,1,1,"Recent, low frequency"
294,12,18,2381.0,4,4,4,Champions
295,19,14,1638.0,3,4,4,Champions
296,179,1,414.0,1,1,2,Lapsed
297,200,9,1022.0,1,3,3,Loyal but slipping
298,99,2,430.0,2,2,2,Lapsed
299,84,32,3318.0,2,4,4,Loyal but slipping
300,62,22,2452.0,2,4,4,Loyal but slipping
